Scenario,Period,LoadLevel,ESS1
sc01,y2030,2030-08-27T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-08-28T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-08-29T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-08-30T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-08-31T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-01T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-02T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-03T23:00:00+02:00,7.0
sc01,y2030,2030-09-04T23:00:00+02:00,7.0
sc01,y2030,2030-09-05T23:00:00+02:00,7.0
sc01,y2030,2030-09-06T23:00:00+02:00,7.0
sc01,y2030,2030-09-07T23:00:00+02:00,7.0
sc01,y2030,2030-09-08T23:00:00+02:00,7.0
sc01,y2030,2030-09-09T23:00:00+02:00,7.0
sc01,y2030,2030-09-10T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-11T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-12T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-13T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-14T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-15T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-16T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-09-17T23:00:00+02:00,7.0
sc01,y2030,2030-09-18T23:00:00+02:00,7.0
sc01,y2030,2030-09-19T23:00:00+02:00,7.0
sc01,y2030,2030-09-20T23:00:00+02:00,7.0
sc01,y2030,2030-09-21T23:00:00+02:00,7.0
sc01,y2030,2030-09-22T23:00:00+02:00,7.0
sc01,y2030,2030-09-23T23:00:00+02:00,7.0
sc01,y2030,2030-09-24T23:00:00+02:00,7.0
sc01,y2030,2030-09-25T23:00:00+02:00,7.0
sc01,y2030,2030-09-26T23:00:00+02:00,7.0
sc01,y2030,2030-09-27T23:00:00+02:00,7.0
sc01,y2030,2030-09-28T23:00:00+02:00,7.0
sc01,y2030,2030-09-29T23:00:00+02:00,7.0
sc01,y2030,2030-09-30T23:00:00+02:00,7.0
sc01,y2030,2030-10-01T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-02T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-03T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-04T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-05T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-06T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-07T23:00:00+02:00,6.623320895477479
sc01,y2030,2030-10-08T23:00:00+02:00,7.0
sc01,y2030,2030-10-09T23:00:00+02:00,7.0
sc01,y2030,2030-10-10T23:00:00+02:00,7.0
sc01,y2030,2030-10-11T23:00:00+02:00,7.0
sc01,y2030,2030-10-12T23:00:00+02:00,7.0
sc01,y2030,2030-10-13T23:00:00+02:00,7.0
sc01,y2030,2030-10-14T23:00:00+02:00,7.0
sc01,y2030,2030-10-15T23:00:00+02:00,7.0
sc01,y2030,2030-10-16T23:00:00+02:00,7.0
sc01,y2030,2030-10-17T23:00:00+02:00,7.0
sc01,y2030,2030-10-18T23:00:00+02:00,7.0
sc01,y2030,2030-10-19T23:00:00+02:00,7.0
sc01,y2030,2030-10-20T23:00:00+02:00,7.0
sc01,y2030,2030-10-21T23:00:00+02:00,7.0
sc01,y2030,2030-10-22T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-10-23T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-10-24T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-10-25T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-10-26T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-10-27T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-10-28T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-10-29T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-10-30T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-10-31T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-01T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-02T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-03T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-04T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-05T23:00:00+01:00,7.0
sc01,y2030,2030-11-06T23:00:00+01:00,7.0
sc01,y2030,2030-11-07T23:00:00+01:00,7.0
sc01,y2030,2030-11-08T23:00:00+01:00,7.0
sc01,y2030,2030-11-09T23:00:00+01:00,7.0
sc01,y2030,2030-11-10T23:00:00+01:00,7.0
sc01,y2030,2030-11-11T23:00:00+01:00,7.0
sc01,y2030,2030-11-12T23:00:00+01:00,7.0
sc01,y2030,2030-11-13T23:00:00+01:00,7.0
sc01,y2030,2030-11-14T23:00:00+01:00,7.0
sc01,y2030,2030-11-15T23:00:00+01:00,7.0
sc01,y2030,2030-11-16T23:00:00+01:00,7.0
sc01,y2030,2030-11-17T23:00:00+01:00,7.0
sc01,y2030,2030-11-18T23:00:00+01:00,7.0
sc01,y2030,2030-11-19T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-20T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-21T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-22T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-23T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-24T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-25T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-11-26T23:00:00+01:00,7.0
sc01,y2030,2030-11-27T23:00:00+01:00,7.0
sc01,y2030,2030-11-28T23:00:00+01:00,7.0
sc01,y2030,2030-11-29T23:00:00+01:00,7.0
sc01,y2030,2030-11-30T23:00:00+01:00,7.0
sc01,y2030,2030-12-01T23:00:00+01:00,7.0
sc01,y2030,2030-12-02T23:00:00+01:00,7.0
sc01,y2030,2030-12-03T23:00:00+01:00,7.0
sc01,y2030,2030-12-04T23:00:00+01:00,7.0
sc01,y2030,2030-12-05T23:00:00+01:00,7.0
sc01,y2030,2030-12-06T23:00:00+01:00,7.0
sc01,y2030,2030-12-07T23:00:00+01:00,7.0
sc01,y2030,2030-12-08T23:00:00+01:00,7.0
sc01,y2030,2030-12-09T23:00:00+01:00,7.0
sc01,y2030,2030-12-10T23:00:00+01:00,7.0
sc01,y2030,2030-12-11T23:00:00+01:00,7.0
sc01,y2030,2030-12-12T23:00:00+01:00,7.0
sc01,y2030,2030-12-13T23:00:00+01:00,7.0
sc01,y2030,2030-12-14T23:00:00+01:00,7.0
sc01,y2030,2030-12-15T23:00:00+01:00,7.0
sc01,y2030,2030-12-16T23:00:00+01:00,7.0
sc01,y2030,2030-12-17T23:00:00+01:00,7.0
sc01,y2030,2030-12-18T23:00:00+01:00,7.0
sc01,y2030,2030-12-19T23:00:00+01:00,7.0
sc01,y2030,2030-12-20T23:00:00+01:00,7.0
sc01,y2030,2030-12-21T23:00:00+01:00,7.0
sc01,y2030,2030-12-22T23:00:00+01:00,7.0
sc01,y2030,2030-12-23T23:00:00+01:00,7.0
sc01,y2030,2030-12-24T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-25T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-26T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-27T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-28T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-29T23:00:00+01:00,4.166666666666666
sc01,y2030,2030-12-30T23:00:00+01:00,4.166666666666666
