Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-04-08T15:00:00+02:00,0.0,-0.1699275404908136,-0.1537672751014243,-0.15757927309586806,-0.30505975486336734,-0.10719999999999996,-0.15491898644621793,-0.1516172436560297,-0.17184091270900637
sc01,y2030,2030-04-08T19:00:00+02:00,0.0,-0.13521496990988058,-0.10732752771784804,-0.07489523361569805,-0.23742629543819738,-0.07952333369592468,-0.12308980963355354,-0.11343625505630572,-0.12219033135534851
sc01,y2030,2030-04-08T23:00:00+02:00,0.0,-0.13824899964664517,-0.11358014593290466,-0.08955602721878897,-0.24416091176128818,-0.08279515628829959,-0.12591150994993594,-0.11784505892935959,-0.12868395998356363
sc01,y2030,2030-04-09T03:00:00+02:00,0.0,-0.12358201795035684,-0.10128529090832217,-0.07945093390901259,-0.21833355505901197,-0.07394948953973679,-0.11259541999171585,-0.10529208287536851,-0.11490006582973677
sc01,y2030,2030-04-09T07:00:00+02:00,0.0,-0.14466718681052293,-0.12259597966284708,-0.10629892910504135,-0.25682712872754054,-0.08807934893742453,-0.13180434032155497,-0.12511428705064143,-0.13828570461863654
sc01,y2030,2030-04-09T11:00:00+02:00,0.0,-0.16863673510028465,-0.1463577395045237,-0.13524664756172333,-0.3004123135067227,-0.10396168202129963,-0.15363257695682586,-0.14742134835284326,-0.16441464636003245
sc01,y2030,2030-04-09T15:00:00+02:00,0.0,-0.14175526134872207,-0.11723945270507063,-0.09441215730332497,-0.25060538295332435,-0.08518973440692457,-0.129107860185935,-0.12119774745327483,-0.13268622361559013
sc01,y2030,2030-04-09T19:00:00+02:00,0.0,-0.17364768474398518,-0.1508071505402988,-0.1393542419787268,-0.3103974985937261,-0.10719999999999996,-0.15860188028705924,-0.15214521556843197,-0.16968833056927046
sc01,y2030,2030-04-09T23:00:00+02:00,0.0,-0.16194046264971917,-0.14039989324328417,-0.1294653804174941,-0.28849141921499344,-0.09978919968829958,-0.14754682486012904,-0.14152189907334844,-0.15778319832479237
sc01,y2030,2030-04-10T03:00:00+02:00,0.0,-0.14322200726343426,-0.12144237860953577,-0.10549928051068247,-0.25430399275568183,-0.08723024799529955,-0.1304933146894074,-0.12390566576014561,-0.13698433921610675
sc01,y2030,2030-04-10T07:00:00+02:00,0.0,-0.14716216814633687,-0.1448510195482895,-0.16093999825881578,-0.3561966736138149,-0.10719999999999996,-0.16843357651169777,-0.16276627624282902,-0.18662547726787526
sc01,y2030,2030-04-10T11:00:00+02:00,0.0,-0.13578653470875834,-0.14118081224183943,-0.16576123971918455,-0.3793151258241838,-0.10719999999999996,-0.17413948530087797,-0.1679196454747962,-0.19396635951211283
sc01,y2030,2030-04-10T15:00:00+02:00,0.0,-0.14711151330295635,-0.14360702498399802,-0.15604884860713897,-0.36010561051963785,-0.10719999999999996,-0.17009635620207098,-0.1634423170267849,-0.18673137173864118
sc01,y2030,2030-04-10T19:00:00+02:00,0.0,-0.13952826604358703,-0.14328198392610192,-0.16775267153053441,-0.3689394480205337,-0.10719999999999996,-0.17107037112370538,-0.16574900507950874,-0.19149845208131655
sc01,y2030,2030-04-10T23:00:00+02:00,0.0,-0.15041973661299401,-0.14801607644056425,-0.16801900656464075,-0.34302238586713996,-0.10719999999999996,-0.16398002123832134,-0.16016589747053533,-0.18439725261026707
sc01,y2030,2030-04-11T03:00:00+02:00,0.0,-0.16017374507009707,-0.15107301611286972,-0.16352461582524658,-0.32347876509274576,-0.10719999999999996,-0.15920763480474975,-0.1557950700902493,-0.17810820246752357
sc01,y2030,2030-04-11T07:00:00+02:00,0.0,-0.12649560393067105,-0.14224912613824947,-0.18596927533582708,-0.3855916338658263,-0.10719999999999996,-0.17337683715712426,-0.16996559560520685,-0.19971949434414316
sc01,y2030,2030-04-11T11:00:00+02:00,0.0,-0.12013846781282256,-0.139719939340764,-0.1867502422452092,-0.39999342957020856,-0.10719999999999996,-0.17720322575503156,-0.17309985545505246,-0.20385036991384964
sc01,y2030,2030-04-11T15:00:00+02:00,0.0,-0.1347027471232063,-0.1425230375077482,-0.1729909299305763,-0.37627243048557557,-0.10719999999999996,-0.1724265481173366,-0.16751055625889433,-0.1945648559271489
sc01,y2030,2030-04-11T19:00:00+02:00,0.0,-0.13657606498262775,-0.14299918455567306,-0.17168374363813266,-0.37286294877063186,-0.10719999999999996,-0.17165797007959505,-0.16673013939265835,-0.19336362130480067
sc01,y2030,2030-04-11T23:00:00+02:00,0.0,-0.15735756221392583,-0.14870520517119457,-0.1588789656261278,-0.3337258900986271,-0.10719999999999996,-0.16256640909600684,-0.1578471283823446,-0.18001254511375464
sc01,y2030,2030-04-12T03:00:00+02:00,0.0,-0.17123709782672059,-0.15217447306589849,-0.14895969218324523,-0.3086462927532445,-0.10719999999999996,-0.15695003701896204,-0.15209610918093652,-0.17111600915322933
sc01,y2030,2030-04-12T07:00:00+02:00,0.0,-0.14172863670274705,-0.1438450641354443,-0.16623249715536192,-0.36492292591036124,-0.10719999999999996,-0.17016253598430464,-0.1648303150238406,-0.1900872732620471
sc01,y2030,2030-04-12T11:00:00+02:00,0.0,-0.14289861982956076,-0.14214318081843125,-0.15741576826060544,-0.3689916848056045,-0.10719999999999996,-0.17234902107859118,-0.16540648357765164,-0.18945625854803794
