Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-10T19:00:00+01:00,0,-0.137510279364005,-0.140648347020384,-0.144997338775503,-0.386537184350503,-0.1072,-0.178646076618325,-0.168767307323876,-0.191828797455364
sc01,y2030,2030-01-10T23:00:00+01:00,0,-0.176461270910881,-0.149251984501669,-0.114653281690208,-0.318716267092708,-0.1072,-0.163888715950781,-0.153094768161302,-0.167070195392224
sc01,y2030,2030-01-11T03:00:00+01:00,0,-0.125665237628918,-0.0962160251046069,-0.0459212817641765,-0.223237650959177,-0.0723403821774995,-0.116664564092751,-0.103995835552919,-0.108738015570047
sc01,y2030,2030-01-11T07:00:00+01:00,0,-0.178498512385873,-0.148394423900902,-0.1072890112417,-0.3194782060817,-0.1072,-0.164997016367005,-0.153007123731675,-0.165815339346682
sc01,y2030,2030-01-11T11:00:00+01:00,0,-0.164575834503556,-0.143511464409597,-0.110148361118078,-0.349677498325578,-0.1072,-0.172871171002837,-0.159621204711395,-0.1747204937874
sc01,y2030,2030-01-11T15:00:00+01:00,0,-0.165081004472207,-0.143731384324993,-0.110233481612963,-0.348440872590463,-0.1072,-0.17252399925932,-0.159357286618866,-0.174396068994095
sc01,y2030,2030-01-11T19:00:00+01:00,0,-0.143972655149811,-0.140962609275798,-0.135044595191022,-0.378953536201022,-0.1072,-0.177798320532404,-0.166790310174006,-0.187755213303611
sc01,y2030,2030-01-11T23:00:00+01:00,0,-0.170538824553891,-0.148514273791189,-0.121787535259343,-0.327148344794343,-0.1072,-0.165312279312152,-0.155158368013586,-0.170817219378313
sc01,y2030,2030-01-12T03:00:00+01:00,0,-0.139223959694752,-0.112189167017941,-0.0708415433986243,-0.248847214423624,-0.0823073484339987,-0.129062236300318,-0.11784985892453,-0.125998073142259
sc01,y2030,2030-01-12T07:00:00+01:00,0,-0.170682242008574,-0.147588861981881,-0.117447074741876,-0.330052801046877,-0.1072,-0.166634156315782,-0.155636516172969,-0.170755399529142
sc01,y2030,2030-01-12T11:00:00+01:00,0,-0.157924909453912,-0.143146974167225,-0.120210078983767,-0.357617723688767,-0.1072,-0.17380270080569,-0.161678871652817,-0.178914189439352
sc01,y2030,2030-01-12T15:00:00+01:00,0,-0.169955284102772,-0.145068922320481,-0.107588956207895,-0.339094062837895,-0.1072,-0.170302144786809,-0.157249977831349,-0.171289809671313
sc01,y2030,2030-01-12T19:00:00+01:00,0,-0.156143226202441,-0.143030957845401,-0.122824276596917,-0.359805347006918,-0.1072,-0.174078665135413,-0.162240377502355,-0.180038181035474
sc01,y2030,2030-01-12T23:00:00+01:00,0,-0.153676813615022,-0.12220894965929,-0.0726279926541429,-0.273226767201643,-0.0901134023614996,-0.142117935751646,-0.129026011698411,-0.13718145279963
sc01,y2030,2030-01-13T03:00:00+01:00,0,-0.106283562166315,-0.0747226877243026,-0.0151624977478677,-0.186655629137868,-0.0585741480404989,-0.0987636550310791,-0.0847249617374661,-0.0852928639664372
sc01,y2030,2030-01-13T07:00:00+01:00,0,-0.124576344465168,-0.0939799819532952,-0.0406407856512545,-0.220397864866255,-0.0711147097424984,-0.115495325743274,-0.102283098496124,-0.106260039547689
sc01,y2030,2030-01-13T11:00:00+01:00,0,-0.16230646935028,-0.131278247530617,-0.0845928464987744,-0.289139310613775,-0.0960233616859987,-0.15001116971979,-0.137301502672317,-0.147057213832005
sc01,y2030,2030-01-13T15:00:00+01:00,0,-0.143645160673086,-0.110811007434776,-0.0556820963465734,-0.254427295569074,-0.0829052229489993,-0.132944330522136,-0.118983450050893,-0.124836193837597
sc01,y2030,2030-01-13T19:00:00+01:00,0,-0.175047635014969,-0.14810591803882,-0.112070474873003,-0.323925586068003,-0.1072,-0.165623257759826,-0.154130403126376,-0.167994313548864
sc01,y2030,2030-01-13T23:00:00+01:00,0,-0.143689962098009,-0.114679373454143,-0.0693149605528185,-0.255858104875319,-0.084446471028998,-0.132976439996321,-0.120914718291202,-0.128752684003438
sc01,y2030,2030-01-14T03:00:00+01:00,0,-0.170213456915138,-0.154163174373367,-0.147317208079887,-0.308861589942387,-0.1072,-0.157209578065771,-0.152086348707284,-0.17084865425529
sc01,y2030,2030-01-14T07:00:00+01:00,0,-0.0998207240745872,-0.0702124364405283,-0.0143055279271211,-0.175543624177121,-0.055050137639499,-0.0928470348876047,-0.079654943475342,-0.0802048808391509
sc01,y2030,2030-01-14T11:00:00+01:00,0,-0.142697753439422,-0.114008389815365,-0.0692595838584926,-0.254159700973493,-0.0839139272709986,-0.132068039796623,-0.120146944070372,-0.127993250647058
sc01,y2030,2030-01-14T15:00:00+01:00,0,-0.127310964589211,-0.0958804447854946,-0.0409751285134639,-0.225096878388464,-0.0726026775779991,-0.117998843180694,-0.10442444170249,-0.108404866482782
sc01,y2030,2030-01-14T19:00:00+01:00,0,-0.175434254234068,-0.146193531951245,-0.106767169970495,-0.313740813052995,-0.105456058465998,-0.162016083342424,-0.150443327773372,-0.163212185813009
sc01,y2030,2030-01-14T23:00:00+01:00,0,-0.105786601791835,-0.069069859894088,0.00374695586958351,-0.183929140465417,-0.0562056841079983,-0.0983210107721111,-0.081713110374853,-0.0795346025425221
sc01,y2030,2030-01-15T03:00:00+01:00,0,-0.0707130005570007,-0.0336291698379896,0.0473337830519114,-0.119756529235589,-0.0327470072568485,-0.0662371612459973,-0.048780522891096,-0.0408325201407191
sc01,y2030,2030-01-15T07:00:00+01:00,0,-0.166688639035382,-0.135133738973419,-0.0880053700463321,-0.296955171263832,-0.0987280099554984,-0.154021122346874,-0.141133244594457,-0.15131360738702
sc01,y2030,2030-01-15T11:00:00+01:00,0,-0.169879631322128,-0.144240343037849,-0.104060794015174,-0.341901371097674,-0.1072,-0.171498204815526,-0.157734965872544,-0.171362786445833
sc01,y2030,2030-01-15T15:00:00+01:00,0,-0.180313820310797,-0.145755947602022,-0.0924455672799154,-0.326334177269915,-0.1072,-0.168679715487612,-0.153978428199354,-0.164754646170522
sc01,y2030,2030-01-15T19:00:00+01:00,0,-0.167294183441109,-0.143387947018064,-0.104832009097624,-0.347330206857624,-0.1072,-0.172882257001019,-0.158932762205031,-0.173014810991059
sc01,y2030,2030-01-15T23:00:00+01:00,0,-0.107654788164254,-0.066193246185821,0.018345246352967,-0.185666352137033,-0.0555718392019988,-0.100041006318504,-0.0811129276095071,-0.0767769252337649
sc01,y2030,2030-01-16T03:00:00+01:00,0,-0.0759504926058878,-0.0367085402740546,0.0486839635760374,-0.128558582323963,-0.0353752765344988,-0.0710333338134181,-0.052604765839364,-0.044373465248744
sc01,y2030,2030-01-16T07:00:00+01:00,0,-0.168559503283751,-0.136184292224315,-0.0873475806884358,-0.300081883693436,-0.0996473092334982,-0.155734459246864,-0.142474868069108,-0.152528469727907
sc01,y2030,2030-01-16T11:00:00+01:00,0,-0.169949024473001,-0.144079920353125,-0.103230212208435,-0.342359745420935,-0.1072,-0.171724627923015,-0.157805443398359,-0.171324065689882
