,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate
Carhuamayo_138_kV,Carhuamayo_50_kV,cc1,AC,0,0.176666667,9999,0,0
Paragsha_138_kV,Paragsha_50_kV,cc1,AC,0,0.072727273,9999,0,0
Pucallpa_138_kV,Pucallpa_60_kV,cc1,AC,0,0.097045455,9999,0,0
Aricota_138_kV,Aricota_66_kV,cc1,AC,0,0.130333333,9999,0,0
Paragsha_50_kV,Excelsior_50_kV,cc1,AC,0,0.022873717,9999,0,0
Excelsior_50_kV,Carhuamayo_50_kV,cc1,AC,0,0.725800452,9999,0,0
Carhuamayo_50_kV,Malpaso_50_kV,cc1,AC,0,1.358727568,9999,1000,0.075
Malpaso_50_kV,Oroya_50_kV,cc1,AC,0,0.366905232,9999,0,0
OroyaCH_50_kV,Malpaso_50_kV,cc1,AC,0,0.355609848,9999,0,0
OroyaCH_50_kV,Pzinc_50_kV,cc1,AC,0,0.078951348,9999,0,0
Oroya_50_kV,Pzinc_50_kV,cc1,AC,0,0.0494996,9999,0,0
Cobriza_69_kV,Machahuay_69_kV,cc1,AC,0,0.556608982,9999,0,0
Machahuay_69_kV,Huanta_69_kV,cc1,AC,0,0.499528544,9999,0,0
