InitialNode,FinalNode,cc1,cc2,cc3,cc4
Machupicchu_138_kV,Cachimayo_138_kV,0,0.0,0.0,0.0
Machupicchu_138_kV,Suriray_138_kV,0,0.0,0.0,0.0
Malpaso_50_kV,Oroya_50_kV,0,0.0,0.0,0.0
Malvinas_220_kV,Mirones_60_kV,0,0.0,0.0,0.0
Manchay_220_kV,Manchay_60_kV,0,0.0,0.0,0.0
Manchay_60_kV,Planicie_60_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Cobriza_69_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Colcabamba_220_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Cotaruse_220_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Huancavelica_220_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Huayucachi_220_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Pachachaca_220_kV,0,0.0,0.0,0.0
Mantaro_220_kV,Pomacocha_220_kV,0,0.0,0.0,0.0
Mara_II_500_kV,Chimbote_500_kV,0,0.0,0.0,0.0
Mara_II_500_kV,Tocache_500_kV,0,0.0,0.0,0.0
Mara_I_500_kV,Tocache_500_kV,0,0.0,0.0,0.0
Mara_I_500_kV,Trujillo_500_kV,0,0.0,0.0,0.0
Maravilla_138_kV,Juliaca_138_kV,0,0.0,0.0,0.0
Marcona_220_kV,Marcona_60_kV,0,0.0,0.0,0.0
Marcona_220_kV,Poroma_220_kV,0,0.0,0.0,0.0
Marcona_60_kV,Nazca_60_kV,0,0.0,0.0,0.0
Matucana_220_kV,Callahuanca_220_kV,0,0.0,0.0,0.0
Mazuco_138_kV,PuertoMaldonado_138_kV,0,0.0,0.0,0.0
MedioMundo_220_kV,Paramonga_220_kV,0,0.0,0.0,0.0
MillSite_138_kV,Botiflaca_138_kV,0,0.0,0.0,0.0
MillSite_138_kV,Ilo3_138_kV,0,0.0,0.0,0.0
Mirador_220_kV,Malvinas_220_kV,0,0.0,0.0,0.0
Mirador_220_kV,Mirador_60_kV,0,0.0,0.0,0.0
Mirador_60_kV,SantaRosaEDN_60_kV,0,0.0,0.0,0.0
Mirones_60_kV,Barsi_60_kV,0,0.0,0.0,0.0
Mollepata_220_kV,Mollepata_69_kV,0,0.0,0.0,0.0
Montalvo_220_kV,LosHeroes_220_kV,0,0.0,0.0,0.0
Montalvo_500_kV,Montalvo_220_kV,0,0.0,0.0,0.0
Montalvo_500_kV,Moquegua_220_kV,0,0.0,0.0,0.0
Moquegua_138_kV,Botiflaca_138_kV,0,0.0,0.0,0.0
Moquegua_138_kV,MillSite_138_kV,0,0.0,0.0,0.0
Moquegua_138_kV,MoqueguaC_138_kV,0,0.0,0.0,0.0
Moquegua_138_kV,SPCC_138_kV,0,0.0,0.0,0.0
Moquegua_138_kV,Toquepala_138_kV,0,0.0,0.0,0.0
Moquegua_220_kV,Ilo2_220_kV,0,0.0,0.0,0.0
Moquegua_220_kV,Ilo3_220_kV,0,0.0,0.0,0.0
Moquegua_220_kV,LosHeroes_220_kV,0,0.0,0.0,0.0
Moquegua_220_kV,Montalvo_220_kV,0,0.0,0.0,0.0
Moquegua_220_kV,Moquegua_138_kV,0,0.0,0.0,0.0
Moquegua_220_kV,TiaMaria_220_kV,0,0.0,0.0,0.0
Moyobamba_220_kV,Iquitos_220_kV,0,0.0,0.0,0.0
Moyobamba_220_kV,Moyobamba_138_kV,0,0.0,0.0,0.0
Moyopampa_60_kV,SantaRosaEDN_60_kV,0,0.0,0.0,0.0
Naranjal_60_kV,Chillon_60_kV,0,0.0,0.0,0.0
Nazca_220_kV,Marcona_220_kV,0,0.0,0.0,0.0
Nazca_220_kV,Nazca_60_kV,0,0.0,0.0,0.0
Oconha_500_kV,SanJose_500_kV,0,0.0,0.0,0.0
Olmos_220_kV,Chiclayo_220_kV,0,0.0,0.0,0.0
Onocora_220_kV,Tintaya_220_kV,0,0.0,0.0,0.0
Onocora_500_kV,Onocora_220_kV,0,0.0,0.0,0.0
Onocora_500_kV,Yarabamba_500_kV,0,0.0,0.0,0.0
Oquendo_60_kV,Chillon_60_kV,0,0.0,0.0,0.0
Orcotuna_220_kV,Huanza_220_kV,0,0.0,0.0,0.0
Orcotuna_220_kV,Orcotuna_60_kV,0,0.0,0.0,0.0
OroyaCH_50_kV,Malpaso_50_kV,0,0.0,0.0,0.0
OroyaCH_50_kV,Pzinc_50_kV,0,0.0,0.0,0.0
