Period,Scenario,LoadLevel,Anthracite,Gas,Hydro,Nuclear,Onshore_wind,PumpedStorageHydro,Solar_PV,Subbituminous,SynchronousCondenser
2030,sc01,01-09 07:00:00+01:00,0.0,92.83516483516485,135.9313727655127,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 09:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 11:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 13:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 15:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 21:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-09 23:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 01:00:00+01:00,0.0,92.83516483516485,3.4926225455117503,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 03:00:00+01:00,0.0,92.83516483516485,38.74049800551387,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 05:00:00+01:00,0.0,92.83516483516485,-0.4623774544871253,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 07:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 09:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 11:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 13:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 15:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 21:00:00+01:00,0.0,92.83516483516485,131.63337270551276,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-10 23:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 01:00:00+01:00,0.0,92.83516483516485,4.351456445512866,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 03:00:00+01:00,0.0,92.83516483516485,-41.87637741448714,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 05:00:00+01:00,0.0,92.83516483516485,-54.77071075448714,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 07:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 09:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 11:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 13:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 15:00:00+01:00,0.0,92.83516483516485,120.43962260551271,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-11 21:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
