Period,Scenario,LoadLevel,Area1
2020,sc01,01-09 16:00:00+01:00,18.93989733
2020,sc01,01-09 17:00:00+01:00,19.13013632
2020,sc01,01-09 18:00:00+01:00,18.57193259
2020,sc01,01-09 19:00:00+01:00,17.79997469
2020,sc01,01-09 20:00:00+01:00,16.93082288
2020,sc01,01-09 21:00:00+01:00,16.02534316
2020,sc01,01-09 22:00:00+01:00,15.09071725
2020,sc01,01-09 23:00:00+01:00,14.19362217
2020,sc01,01-10 00:00:00+01:00,13.7220062
2020,sc01,01-10 01:00:00+01:00,13.3780143
2020,sc01,01-10 02:00:00+01:00,13.22038827
2020,sc01,01-10 03:00:00+01:00,13.32381513
2020,sc01,01-10 04:00:00+01:00,14.06926928
2020,sc01,01-10 05:00:00+01:00,15.5254927
2020,sc01,01-10 06:00:00+01:00,16.95146729
2020,sc01,01-10 07:00:00+01:00,17.85961989
2020,sc01,01-10 08:00:00+01:00,18.11997818
2020,sc01,01-10 09:00:00+01:00,18.26927087
2020,sc01,01-10 10:00:00+01:00,18.13628251
2020,sc01,01-10 11:00:00+01:00,17.93951536
2020,sc01,01-10 12:00:00+01:00,17.83466552
2020,sc01,01-10 13:00:00+01:00,17.7296436
2020,sc01,01-10 14:00:00+01:00,17.88176305
2020,sc01,01-10 15:00:00+01:00,18.40602218
2020,sc01,01-10 16:00:00+01:00,18.95840826
2020,sc01,01-10 17:00:00+01:00,19.21659834
2020,sc01,01-10 18:00:00+01:00,18.68683063
2020,sc01,01-10 19:00:00+01:00,17.97717525
2020,sc01,01-10 20:00:00+01:00,17.1121739
2020,sc01,01-10 21:00:00+01:00,16.24748594
2020,sc01,01-10 22:00:00+01:00,15.37616857
2020,sc01,01-10 23:00:00+01:00,14.49130611
2020,sc01,01-11 00:00:00+01:00,14.02175876
2020,sc01,01-11 01:00:00+01:00,13.73088822
2020,sc01,01-11 02:00:00+01:00,13.53695809
2020,sc01,01-11 03:00:00+01:00,13.65032394
2020,sc01,01-11 04:00:00+01:00,14.3817545
2020,sc01,01-11 05:00:00+01:00,15.8590972
2020,sc01,01-11 06:00:00+01:00,17.29952657
2020,sc01,01-11 07:00:00+01:00,18.20459132
2020,sc01,01-11 08:00:00+01:00,18.49559125
2020,sc01,01-11 09:00:00+01:00,18.68498175
2020,sc01,01-11 10:00:00+01:00,18.61960262
2020,sc01,01-11 11:00:00+01:00,18.41583642
2020,sc01,01-11 12:00:00+01:00,18.3780104
2020,sc01,01-11 13:00:00+01:00,18.27817771
2020,sc01,01-11 14:00:00+01:00,18.37132506
2020,sc01,01-11 15:00:00+01:00,18.77896734
2020,sc01,01-11 16:00:00+01:00,19.21334071
2020,sc01,01-11 17:00:00+01:00,19.4132073
2020,sc01,01-11 18:00:00+01:00,18.85156658
2020,sc01,01-11 19:00:00+01:00,18.09494141
2020,sc01,01-11 20:00:00+01:00,17.21150657
2020,sc01,01-11 21:00:00+01:00,16.37895371
2020,sc01,01-11 22:00:00+01:00,15.46089918
2020,sc01,01-11 23:00:00+01:00,14.57789454
2020,sc01,01-12 00:00:00+01:00,14.09838999
2020,sc01,01-12 01:00:00+01:00,13.76893231
2020,sc01,01-12 02:00:00+01:00,13.59117811
2020,sc01,01-12 03:00:00+01:00,13.69500274
2020,sc01,01-12 04:00:00+01:00,14.45233742
2020,sc01,01-12 05:00:00+01:00,15.92150827
2020,sc01,01-12 06:00:00+01:00,17.33620825
2020,sc01,01-12 07:00:00+01:00,18.16397428
2020,sc01,01-12 08:00:00+01:00,18.41038642
2020,sc01,01-12 09:00:00+01:00,18.55271083
2020,sc01,01-12 10:00:00+01:00,18.43568561
2020,sc01,01-12 11:00:00+01:00,18.15990325
2020,sc01,01-12 12:00:00+01:00,17.95355418
2020,sc01,01-12 13:00:00+01:00,17.77426118
2020,sc01,01-12 14:00:00+01:00,17.80305824
2020,sc01,01-12 15:00:00+01:00,18.19896262
2020,sc01,01-12 16:00:00+01:00,18.75385512
2020,sc01,01-12 17:00:00+01:00,18.88153777
2020,sc01,01-12 18:00:00+01:00,18.28171662
2020,sc01,01-12 19:00:00+01:00,17.50940628
2020,sc01,01-12 20:00:00+01:00,16.65173326
2020,sc01,01-12 21:00:00+01:00,15.98968603
2020,sc01,01-12 22:00:00+01:00,15.18771028
2020,sc01,01-12 23:00:00+01:00,14.32464947
2020,sc01,01-13 00:00:00+01:00,13.78216698
2020,sc01,01-13 01:00:00+01:00,13.39890392
2020,sc01,01-13 02:00:00+01:00,13.05749556
2020,sc01,01-13 03:00:00+01:00,12.89708314
2020,sc01,01-13 04:00:00+01:00,12.94376536
2020,sc01,01-13 05:00:00+01:00,13.50190886
2020,sc01,01-13 06:00:00+01:00,14.2789597
2020,sc01,01-13 07:00:00+01:00,14.97152778
2020,sc01,01-13 08:00:00+01:00,15.58909013
2020,sc01,01-13 09:00:00+01:00,15.96649516
2020,sc01,01-13 10:00:00+01:00,15.97657876
2020,sc01,01-13 11:00:00+01:00,15.84477213
2020,sc01,01-13 12:00:00+01:00,15.46603348
2020,sc01,01-13 13:00:00+01:00,15.23078112
2020,sc01,01-13 14:00:00+01:00,15.17405169
2020,sc01,01-13 15:00:00+01:00,15.70859861
2020,sc01,01-13 16:00:00+01:00,16.44489608
2020,sc01,01-13 17:00:00+01:00,16.84345347
2020,sc01,01-13 18:00:00+01:00,16.45955637
2020,sc01,01-13 19:00:00+01:00,15.89355076
2020,sc01,01-13 20:00:00+01:00,15.33887402
2020,sc01,01-13 21:00:00+01:00,14.81552062
2020,sc01,01-13 22:00:00+01:00,14.1841147
2020,sc01,01-13 23:00:00+01:00,13.46025537
2020,sc01,01-14 00:00:00+01:00,13.02057297
2020,sc01,01-14 01:00:00+01:00,12.63202505
2020,sc01,01-14 02:00:00+01:00,12.29648332
2020,sc01,01-14 03:00:00+01:00,12.10403507
2020,sc01,01-14 04:00:00+01:00,12.00851565
2020,sc01,01-14 05:00:00+01:00,12.24077447
2020,sc01,01-14 06:00:00+01:00,12.60391763
2020,sc01,01-14 07:00:00+01:00,13.10500873
2020,sc01,01-14 08:00:00+01:00,13.75639159
2020,sc01,01-14 09:00:00+01:00,14.36676295
2020,sc01,01-14 10:00:00+01:00,14.60068995
2020,sc01,01-14 11:00:00+01:00,14.56584259
2020,sc01,01-14 12:00:00+01:00,14.28849198
2020,sc01,01-14 13:00:00+01:00,14.07171349
2020,sc01,01-14 14:00:00+01:00,14.04675813
2020,sc01,01-14 15:00:00+01:00,14.64155319
2020,sc01,01-14 16:00:00+01:00,15.67251029
2020,sc01,01-14 17:00:00+01:00,16.31158771
2020,sc01,01-14 18:00:00+01:00,16.23523875
2020,sc01,01-14 19:00:00+01:00,15.90963965
2020,sc01,01-14 20:00:00+01:00,15.47120153
2020,sc01,01-14 21:00:00+01:00,14.94632489
2020,sc01,01-14 22:00:00+01:00,14.2225473
2020,sc01,01-14 23:00:00+01:00,13.50972629
2020,sc01,01-15 00:00:00+01:00,13.15852355
2020,sc01,01-15 01:00:00+01:00,12.8974551
2020,sc01,01-15 02:00:00+01:00,12.76331147
2020,sc01,01-15 03:00:00+01:00,12.95218441
2020,sc01,01-15 04:00:00+01:00,13.87354455
2020,sc01,01-15 05:00:00+01:00,15.58739845
2020,sc01,01-15 06:00:00+01:00,17.15990714
2020,sc01,01-15 07:00:00+01:00,18.12042162
2020,sc01,01-15 08:00:00+01:00,18.40820298
2020,sc01,01-15 09:00:00+01:00,18.56833974
2020,sc01,01-15 10:00:00+01:00,18.46721479
