,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,OutflowsIncompatibility,NoOperatingReserve,BinaryInvestment,BinaryRetirement,BinaryCommitment,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumPowerHeat,MinimumPowerHeat,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,StableTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedRetirementCost,FixedChargeRate,StorageInvestment,Inertia,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunctionHydro,ProductionFunctionH2,ProductionFunctionHeat,ProductionFunctionH2ToHeat
GasDLT1,Nigeria States|Delta,CCGT,,,,,,,,,,,2026,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2465,2902,2,,2.052,,0.653,,,,,,,,,,,,,,,,
GasDLT2,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2476,3103,2,,2.212,,0.5963,,,,,,,,,,,,,,,,
GasDLT3,Nigeria States|Delta,CCGT,,,,,,,,,,,2021,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2465,3106,2,,2.412,,0.6523,,,,,,,,,,,,,,,,
GasDLT4,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2478,2966,2,,2.064,,0.5963,,,,,,,,,,,,,,,,
GasDLT5,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2461,2968,2,,2.05,,0.598,,,,,,,,,,,,,,,,
GasDLT6,Nigeria States|Delta,CCGT,,,,,,,,,,,2026,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2440,2998,2,,2.13,,0.653,,,,,,,,,,,,,,,,
GasDLT7,Nigeria States|Delta,CCGT,,,,,,,,,,,2023,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2459,2969,2,,2.048,,0.6892,,,,,,,,,,,,,,,,
GasDLT8,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2468,2997,2,,2.072,,0.5634,,,,,,,,,,,,,,,,
GasDLT9,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2463,2996,2,,2.056,,0.5643,,,,,,,,,,,,,,,,
GasDLT10,Nigeria States|Delta,CCGT,,,,,,,,,,,2023,2050,1200,100,,,,,,,,,,0.06,,,,,,0.002,2436,2976,2,,2.618,,0.5321,,,,,,,,,,,,,,,,
GasDLT11,Nigeria States|Delta,CCGT,,,,,,,,,,,2030,2050,850,52,,,,,,,,,,0.1,,,,,,0.002,2325,2978,2,,2.616,,0.504,,,,,,,,,,,,,,,,
GasIM1,Nigeria States|Imo,CCGT,,,,,,,,,,,2023,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2678,2998,2,,2.65,,0.564,,,,,,,,,,,,,,,,
GasIM2,Nigeria States|Imo,CCGT,,,,,,,,,,,2019,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2896,2978,2,,2.592,,0.5645,,,,,,,,,,,,,,,,
GasIM3,Nigeria States|Imo,CCGT,,,,,,,,,,,2021,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2887,2987,2,,2.712,,0.5321,,,,,,,,,,,,,,,,
GasIM4,Nigeria States|Imo,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2896,2894,2,,2.492,,0.5684,,,,,,,,,,,,,,,,
GasAKW1,Nigeria States|Akwa Ibom,CCGT,,,,,,,,,,,2024,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2836,2987,2,,3.092,,0.5632,,,,,,,,,,,,,,,,
GasAKW2,Nigeria States|Akwa Ibom,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.12,,,,,,0.002,2840,2900,2,,2.03,,0.659,,,,,,,,,,,,,,,,
GasAKW3,Nigeria States|Akwa Ibom,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2898,2912,2,,2.094,,0.6352,,,,,,,,,,,,,,,,
GasAKW4,Nigeria States|Akwa Ibom,CCGT,,,,,,,,,,,2017,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2564,2965,2,,2.108,,0.6354,,,,,,,,,,,,,,,,
GasOGN1,Nigeria States|Ogun,CCGT,,,,,,,,,,,2021,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2987,2896,2,,2.092,,0.6325,,,,,,,,,,,,,,,,
GasOGN2,Nigeria States|Ogun,CCGT,,,,,,,,,,,2016,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2986,2694,2,,2.248,,0.6254,,,,,,,,,,,,,,,,
GasOGN3,Nigeria States|Ogun,CCGT,,,,,,,,,,,2018,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2897,2963,2,,2.49,,0.6325,,,,,,,,,,,,,,,,
GasOGN4,Nigeria States|Ogun,CCGT,,,,,,,,,,,2022,2050,1500,120,,,,,,,,,,0.12,,,,,,0.002,2840,2969,2,,2.072,,0.659,,,,,,,,,,,,,,,,
GasOND1,Nigeria States|Ondo,CCGT,,,,,,,,,,,2021,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2896,3126,2,,2.13,,0.6325,,,,,,,,,,,,,,,,
GasOND2,Nigeria States|Ondo,CCGT,,,,,,,,,,,2027,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2829,3024,2,,2.05,,0.6354,,,,,,,,,,,,,,,,
GasOND3,Nigeria States|Ondo,CCGT,,,,,,,,,,,2024,2050,1500,120,,,,,,,,,,0.12,,,,,,0.002,2840,2900,2,,2.03,,0.659,,,,,,,,,,,,,,,,
GasOND4,Nigeria States|Ondo,CCGT,,,,,,,,,,,2027,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2878,2906,2,,2.206,,0.6325,,,,,,,,,,,,,,,,
GasBYS1,Nigeria States|Bayelsa,CCGT,,,,,,,,,,,2022,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2876,2896,2,,2.022,,0.603,,,,,,,,,,,,,,,,
GasBYS2,Nigeria States|Bayelsa,CCGT,,,,,,,,,,,2027,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2859,2968,2,,2.13,,0.6321,,,,,,,,,,,,,,,,
GasBYS3,Nigeria States|Bayelsa,CCGT,,,,,,,,,,,2028,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2857,3215,2,,2.072,,0.6562,,,,,,,,,,,,,,,,
GasBYS4,Nigeria States|Bayelsa,CCGT,,,,,,,,,,,2024,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2865,3152,2,,2.098,,0.3215,,,,,,,,,,,,,,,,
GasLAG1,Nigeria States|Lagos,CCGT,,,,,,,,,,,2016,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2863,3312,2,,2.096,,0.6254,,,,,,,,,,,,,,,,
GasLAG2,Nigeria States|Lagos,CCGT,,,,,,,,,,,2027,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2861,3256,2,,2.252,,0.6032,,,,,,,,,,,,,,,,
GasLAG3,Nigeria States|Lagos,CCGT,,,,,,,,,,,2027,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2856,3256,2,,2.174,,0.635,,,,,,,,,,,,,,,,
GasLAG4,Nigeria States|Lagos,CCGT,,,,,,,,,,,2022,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2856,3245,2,,2.192,,0.6542,,,,,,,,,,,,,,,,
GasLAG5,Nigeria States|Lagos,CCGT,,,,,,,,,,,2028,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2861,2426,2,,2.128,,0.6254,,,,,,,,,,,,,,,,
GasLAG6,Nigeria States|Lagos,CCGT,,,,,,,,,,,2024,2050,2000,145,,,,,,,,,,0.06,,,,,,0.002,2857,3123,2,,2.098,,0.6234,,,,,,,,,,,,,,,,
GasLAG7,Nigeria States|Lagos,CCGT,,,,,,,,,,,2028,2050,2500,145,,,,,,,,,,0.06,,,,,,0.002,2855,3124,2,,2.13,,0.6123,,,,,,,,,,,,,,,,
GasLAG8,Nigeria States|Lagos,CCGT,,,,,,,,,,,2017,2050,2700,145,,,,,,,,,,0.06,,,,,,0.002,2856,3215,2,,2.414,,0.6124,,,,,,,,,,,,,,,,
NucBUC,Nigeria States|Bauchi,Nuclear,,,,,,,,,,,2027,2050,1500,120,,,,,,,,,,0.06,,,,,,0.0035,2856,3025,2,,3.5665,,0.6134,,,,,,,,,,,,,,,,
NucKD,Nigeria States|Kaduna,Nuclear,,,,,,,,,,,2022,2050,1500,120,,,,,,,,,,0.06,,,,,,0.0035,2968,3015,2,,3.5245,,0.603,,,,,,,,,,,,,,,,
NucADM,Nigeria States|Adamawa,Nuclear,,,,,,,,,,,2028,2050,1500,120,,,,,,,,,,0.06,,,,,,0.0035,2892,2996,2,,3.5735,,0.6542,,,,,,,,,,,,,,,,
NucKB,Nigeria States|Kebbi,Nuclear,,,,,,,,,,,2028,2050,2000,135,,,,,,,,,,0.06,,,,,,0.0035,2897,2964,2,,3.6225,,0.6254,,,,,,,,,,,,,,,,
BRNcoal1,Nigeria States|Borno,Hard_Coal,,,,,,,,,,,2028,2050,800,50,,,,,,,,,,0.06,,,,,,0.0012,2897,2946,2,,1.4808,,0.6234,,,,,,,,,,,,,,,,
BRNcoal2,Nigeria States|Borno,Hard_Coal,,,,,,,,,,,2018,2050,800,50,,,,,,,,,,0.06,,,,,,0.0012,2896,3456,2,,1.23,,0.6123,,,,,,,,,,,,,,,,
BRNcoal3,Nigeria States|Borno,Hard_Coal,,,,,,,,,,,2023,2050,800,50,,,,,,,,,,0.1,,,,,,0.0012,2482,3651,2,,1.8255,,0.603,,,,,,,,,,,,,,,,
YBcoal1,Nigeria States|Borno,Hard_Coal,,,,,,,,,,,2028,2050,750,45,,,,,,,,,,0.1,,,,,,0.0012,2482,3651,2,,1.8255,,0.603,,,,,,,,,,,,,,,,
YBcoal2,Nigeria States|Yobe,Hard_Coal,,,,,,,,,,,2020,2050,750,45,,,,,,,,,,0.1,,,,,,0.0012,2482,3651,2,,1.8255,,0.603,,,,,,,,,,,,,,,,
YBcoal3,Nigeria States|Yobe,Hard_Coal,,,,,,,,,,,2022,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2856,3658,2,,1.638,,0.6321,,,,,,,,,,,,,,,,
JGWCoal1,Nigeria States|Jigawa,Hard_Coal,,,,,,,,,,,2019,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2897,3561,2,,1.59,,0.6562,,,,,,,,,,,,,,,,
JGWCoal2,Nigeria States|Jigawa,Hard_Coal,,,,,,,,,,,2018,2050,750,45,,,,,,,,,,0.06,,,,,,0.0012,2846,3847,2,,1.7628,,0.3215,,,,,,,,,,,,,,,,
