Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-06-30T03:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-30T07:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-30T11:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-30T15:00:00+02:00,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
sc2015,y2030,2030-06-30T19:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-06-30T23:00:00+02:00,68.48162728437815,68.48162728437816,68.48162728437816,68.48162728437815,68.48162728437819,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816,68.48162728437816
sc2015,y2030,2030-07-01T03:00:00+02:00,68.48162728437816,68.48162728437818,68.48162728437818,68.48162728437816,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-07-01T07:00:00+02:00,68.48162728437815,68.48162728437819,68.48162728437818,68.48162728437815,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-07-01T11:00:00+02:00,66.92376060684934,66.92376060684931,66.92376060684931,66.92376060684934,66.92376060684931,66.92376060684931,66.92376060684931,66.92376060684931,66.92376060684931,66.92376060684931,66.92376060684931
sc2015,y2030,2030-07-01T15:00:00+02:00,48.621955371908484,92.55834848036736,53.36355264674975,48.621955371908484,52.020076824527735,65.98815519391775,56.77880281892045,54.89129654211455,53.1528039187407,52.854776611876616,55.48735115584273
sc2015,y2030,2030-07-01T19:00:00+02:00,68.4816272843782,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.4816272843782,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-07-01T23:00:00+02:00,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813
