,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-05 11:00:00+01:00,,,,,,,,,,,,,,32.63115,59.364575,
2030,sc01,01-05 12:00:00+01:00,,,,,,,,,,,,,,30.2444,66.657775,
2030,sc01,01-05 13:00:00+01:00,,,,,,,,,,,,,,31.2469,68.914075,
2030,sc01,01-05 14:00:00+01:00,,,,,,,,,,,,,,32.815175,66.2004,
2030,sc01,01-05 15:00:00+01:00,,,,,,,,,,,,,,32.74595,56.984875,
2030,sc01,01-05 16:00:00+01:00,,,,,,,,,,,,,,33.204475,36.0849,
2030,sc01,01-05 17:00:00+01:00,,,,,,,,,,,,,,35.033625,8.645225,
2030,sc01,01-05 18:00:00+01:00,,,,,,,,,,,,,,40.4391,0.049825,
2030,sc01,01-05 19:00:00+01:00,,,,,,,,,,,,,,43.909375,0.000001,
2030,sc01,01-05 20:00:00+01:00,,,,,,,,,,,,,,43.341325,0.000001,
2030,sc01,01-05 21:00:00+01:00,,,,,,,,,,,,,,42.877325,0.000001,
2030,sc01,01-05 22:00:00+01:00,,,,,,,,,,,,,,45.733025,0.000001,
2030,sc01,01-05 23:00:00+01:00,,,,,,,,,,,,,,52.701975,0.000001,
2030,sc01,01-06 00:00:00+01:00,,,,,,,,,,,,,,59.09125,0.000001,
2030,sc01,01-06 01:00:00+01:00,,,,,,,,,,,,,,67.212525,0.000001,
2030,sc01,01-06 02:00:00+01:00,,,,,,,,,,,,,,70.184875,0.000001,
2030,sc01,01-06 03:00:00+01:00,,,,,,,,,,,,,,74.993825,0.000001,
2030,sc01,01-06 04:00:00+01:00,,,,,,,,,,,,,,80.15505,0.000001,
2030,sc01,01-06 05:00:00+01:00,,,,,,,,,,,,,,82.15055,0.000001,
2030,sc01,01-06 06:00:00+01:00,,,,,,,,,,,,,,84.303,0.000001,
2030,sc01,01-06 07:00:00+01:00,,,,,,,,,,,,,,82.141,0.047,
2030,sc01,01-06 08:00:00+01:00,,,,,,,,,,,,,,82.681175,0.836125,
2030,sc01,01-06 09:00:00+01:00,,,,,,,,,,,,,,79.015,12.700375,
2030,sc01,01-06 10:00:00+01:00,,,,,,,,,,,,,,62.525925,33.70115,
2030,sc01,01-06 11:00:00+01:00,,,,,,,,,,,,,,48.95905,46.7066,
2030,sc01,01-06 12:00:00+01:00,,,,,,,,,,,,,,42.76845,52.05675,
2030,sc01,01-06 13:00:00+01:00,,,,,,,,,,,,,,42.980325,54.565275,
2030,sc01,01-06 14:00:00+01:00,,,,,,,,,,,,,,44.9867,53.408325,
2030,sc01,01-06 15:00:00+01:00,,,,,,,,,,,,,,41.981525,46.217325,
2030,sc01,01-06 16:00:00+01:00,,,,,,,,,,,,,,40.107775,28.494175,
2030,sc01,01-06 17:00:00+01:00,,,,,,,,,,,,,,37.2357,6.38565,
2030,sc01,01-06 18:00:00+01:00,,,,,,,,,,,,,,40.275775,0.047925,
2030,sc01,01-06 19:00:00+01:00,,,,,,,,,,,,,,47.02345,0.000001,
2030,sc01,01-06 20:00:00+01:00,,,,,,,,,,,,,,57.23595,0.000001,
2030,sc01,01-06 21:00:00+01:00,,,,,,,,,,,,,,65.270725,0.000001,
2030,sc01,01-06 22:00:00+01:00,,,,,,,,,,,,,,64.8226,0.000001,
2030,sc01,01-06 23:00:00+01:00,,,,,,,,,,,,,,63.561875,0.000001,
2030,sc01,01-07 00:00:00+01:00,,,,,,,,,,,,,,58.1406,0.000001,
2030,sc01,01-07 01:00:00+01:00,,,,,,,,,,,,,,48.004475,0.000001,
2030,sc01,01-07 02:00:00+01:00,,,,,,,,,,,,,,37.205775,0.000001,
2030,sc01,01-07 03:00:00+01:00,,,,,,,,,,,,,,26.06925,0.000001,
2030,sc01,01-07 04:00:00+01:00,,,,,,,,,,,,,,17.955725,0.000001,
2030,sc01,01-07 05:00:00+01:00,,,,,,,,,,,,,,15.126925,0.000001,
2030,sc01,01-07 06:00:00+01:00,,,,,,,,,,,,,,16.345725,0.000001,
2030,sc01,01-07 07:00:00+01:00,,,,,,,,,,,,,,22.030675,0.043525,
2030,sc01,01-07 08:00:00+01:00,,,,,,,,,,,,,,29.3315,0.494475,
2030,sc01,01-07 09:00:00+01:00,,,,,,,,,,,,,,27.595025,9.56355,
2030,sc01,01-07 10:00:00+01:00,,,,,,,,,,,,,,17.476775,26.3315,
2030,sc01,01-07 11:00:00+01:00,,,,,,,,,,,,,,11.346725,41.599725,
2030,sc01,01-07 12:00:00+01:00,,,,,,,,,,,,,,9.3512,52.2147,
2030,sc01,01-07 13:00:00+01:00,,,,,,,,,,,,,,8.052925,57.305175,
2030,sc01,01-07 14:00:00+01:00,,,,,,,,,,,,,,7.001625,56.018575,
2030,sc01,01-07 15:00:00+01:00,,,,,,,,,,,,,,6.3037,47.974175,
2030,sc01,01-07 16:00:00+01:00,,,,,,,,,,,,,,6.8617,29.980675,
2030,sc01,01-07 17:00:00+01:00,,,,,,,,,,,,,,9.819925,7.149875,
2030,sc01,01-07 18:00:00+01:00,,,,,,,,,,,,,,16.374775,0.05185,
2030,sc01,01-07 19:00:00+01:00,,,,,,,,,,,,,,19.06935,0.000001,
2030,sc01,01-07 20:00:00+01:00,,,,,,,,,,,,,,20.00835,0.000001,
2030,sc01,01-07 21:00:00+01:00,,,,,,,,,,,,,,18.690925,0.000001,
2030,sc01,01-07 22:00:00+01:00,,,,,,,,,,,,,,20.1848,0.000001,
