Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-30T07:00:00+01:00,263.0247162368719
sc01,y2030,2030-01-30T11:00:00+01:00,411.78326440712226
sc01,y2030,2030-01-30T15:00:00+01:00,376.41728494237213
sc01,y2030,2030-01-30T19:00:00+01:00,418.9521662611219
sc01,y2030,2030-01-30T23:00:00+01:00,205.31245496162182
sc01,y2030,2030-01-31T03:00:00+01:00,50.01217141112238
sc01,y2030,2030-01-31T07:00:00+01:00,249.49750654837203
sc01,y2030,2030-01-31T11:00:00+01:00,402.2110428603719
sc01,y2030,2030-01-31T15:00:00+01:00,370.9069859693723
sc01,y2030,2030-01-31T19:00:00+01:00,418.44093104687204
sc01,y2030,2030-01-31T23:00:00+01:00,209.47837660137202
sc01,y2030,2030-02-01T03:00:00+01:00,46.28341148787217
sc01,y2030,2030-02-01T07:00:00+01:00,240.1864714081221
sc01,y2030,2030-02-01T11:00:00+01:00,386.80570327612213
sc01,y2030,2030-02-01T15:00:00+01:00,352.02288548312185
sc01,y2030,2030-02-01T19:00:00+01:00,394.07195273387197
sc01,y2030,2030-02-01T23:00:00+01:00,195.6318845368719
sc01,y2030,2030-02-02T03:00:00+01:00,33.80180370537187
sc01,y2030,2030-02-02T07:00:00+01:00,224.2428931221218
sc01,y2030,2030-02-02T11:00:00+01:00,370.20088156387214
sc01,y2030,2030-02-02T15:00:00+01:00,321.81014146262237
sc01,y2030,2030-02-02T19:00:00+01:00,351.30597232087257
sc01,y2030,2030-02-02T23:00:00+01:00,162.4449510786228
sc01,y2030,2030-02-03T03:00:00+01:00,-1.9783300828771644
sc01,y2030,2030-02-03T07:00:00+01:00,46.322433762122955
sc01,y2030,2030-02-03T11:00:00+01:00,185.8110910608725
sc01,y2030,2030-02-03T15:00:00+01:00,131.64957894562235
sc01,y2030,2030-02-03T19:00:00+01:00,216.6999762091225
sc01,y2030,2030-02-03T23:00:00+01:00,89.17054759312236
sc01,y2030,2030-02-04T03:00:00+01:00,-59.08910674787762
sc01,y2030,2030-02-04T07:00:00+01:00,-63.3670568836277
sc01,y2030,2030-02-04T11:00:00+01:00,76.153784931372
sc01,y2030,2030-02-04T15:00:00+01:00,51.65312134237229
sc01,y2030,2030-02-04T19:00:00+01:00,179.56398612362204
sc01,y2030,2030-02-04T23:00:00+01:00,93.0433776416221
sc01,y2030,2030-02-05T03:00:00+01:00,-22.560185774877596
sc01,y2030,2030-02-05T07:00:00+01:00,199.05775526787215
sc01,y2030,2030-02-05T11:00:00+01:00,371.2008098661222
sc01,y2030,2030-02-05T15:00:00+01:00,342.0691471233722
sc01,y2030,2030-02-05T19:00:00+01:00,385.771735325372
sc01,y2030,2030-02-05T23:00:00+01:00,189.02774710512222
sc01,y2030,2030-02-06T03:00:00+01:00,49.08506317762203
sc01,y2030,2030-02-06T07:00:00+01:00,244.04320603312203
sc01,y2030,2030-02-06T11:00:00+01:00,393.6908949408721
sc01,y2030,2030-02-06T15:00:00+01:00,361.8656006398721
sc01,y2030,2030-02-06T19:00:00+01:00,403.6009326856222
sc01,y2030,2030-02-06T23:00:00+01:00,212.9129031683724
sc01,y2030,2030-02-07T03:00:00+01:00,70.33903932262228
sc01,y2030,2030-02-07T07:00:00+01:00,262.28998282112184
sc01,y2030,2030-02-07T11:00:00+01:00,413.77234291737204
sc01,y2030,2030-02-07T15:00:00+01:00,377.0616883868722
sc01,y2030,2030-02-07T19:00:00+01:00,414.97175668737236
sc01,y2030,2030-02-07T23:00:00+01:00,220.70397639537214
sc01,y2030,2030-02-08T03:00:00+01:00,69.37010425862263
sc01,y2030,2030-02-08T07:00:00+01:00,251.85430856187236
sc01,y2030,2030-02-08T11:00:00+01:00,405.03473418437284
sc01,y2030,2030-02-08T15:00:00+01:00,373.2847851463723
sc01,y2030,2030-02-08T19:00:00+01:00,408.4037810466227
sc01,y2030,2030-02-08T23:00:00+01:00,209.6737794643725
sc01,y2030,2030-02-09T03:00:00+01:00,63.80827405712239
sc01,y2030,2030-02-09T07:00:00+01:00,250.34469023437282
sc01,y2030,2030-02-09T11:00:00+01:00,394.1927546663726
sc01,y2030,2030-02-09T15:00:00+01:00,339.1308400628725
sc01,y2030,2030-02-09T19:00:00+01:00,369.00003462837253
sc01,y2030,2030-02-09T23:00:00+01:00,183.45115552637253
sc01,y2030,2030-02-10T03:00:00+01:00,22.209702807872418
sc01,y2030,2030-02-10T07:00:00+01:00,64.85836212962226
sc01,y2030,2030-02-10T11:00:00+01:00,211.6433002481224
sc01,y2030,2030-02-10T15:00:00+01:00,163.01658412362235
sc01,y2030,2030-02-10T19:00:00+01:00,230.6707573838728
sc01,y2030,2030-02-10T23:00:00+01:00,95.43591949912275
sc01,y2030,2030-02-11T03:00:00+01:00,-50.9429989561271
sc01,y2030,2030-02-11T07:00:00+01:00,-61.6615827591271
sc01,y2030,2030-02-11T11:00:00+01:00,81.86383638112284
sc01,y2030,2030-02-11T15:00:00+01:00,57.65740001712288
sc01,y2030,2030-02-11T19:00:00+01:00,168.30661770737288
sc01,y2030,2030-02-11T23:00:00+01:00,70.9533678023729
sc01,y2030,2030-02-12T03:00:00+01:00,-48.42901592362705
sc01,y2030,2030-02-12T07:00:00+01:00,170.94336329837324
sc01,y2030,2030-02-12T11:00:00+01:00,352.82427130762335
sc01,y2030,2030-02-12T15:00:00+01:00,325.02788957837333
sc01,y2030,2030-02-12T19:00:00+01:00,360.9819325396236
sc01,y2030,2030-02-12T23:00:00+01:00,161.13353369837364
sc01,y2030,2030-02-13T03:00:00+01:00,15.122127800623275
sc01,y2030,2030-02-13T07:00:00+01:00,206.03444980537324
sc01,y2030,2030-02-13T11:00:00+01:00,351.8629992351232
sc01,y2030,2030-02-13T15:00:00+01:00,318.48515523712376
sc01,y2030,2030-02-13T19:00:00+01:00,366.16711045437364
sc01,y2030,2030-02-13T23:00:00+01:00,167.83534154712356
sc01,y2030,2030-02-14T03:00:00+01:00,13.096111874873486
sc01,y2030,2030-02-14T07:00:00+01:00,198.46809728012363
sc01,y2030,2030-02-14T11:00:00+01:00,350.78641025787374
sc01,y2030,2030-02-14T15:00:00+01:00,321.9096795061239
sc01,y2030,2030-02-14T19:00:00+01:00,358.20367929612394
sc01,y2030,2030-02-14T23:00:00+01:00,162.00348918137342
sc01,y2030,2030-02-15T03:00:00+01:00,11.939610890123731
