Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-20T01:00:00+01:00,0
sc2025,y2025,2025-01-20T03:00:00+01:00,0
sc2025,y2025,2025-01-20T05:00:00+01:00,0
sc2025,y2025,2025-01-20T07:00:00+01:00,0
sc2025,y2025,2025-01-20T09:00:00+01:00,0
sc2025,y2025,2025-01-20T11:00:00+01:00,0
sc2025,y2025,2025-01-20T13:00:00+01:00,0
sc2025,y2025,2025-01-20T15:00:00+01:00,0
sc2025,y2025,2025-01-20T17:00:00+01:00,0
sc2025,y2025,2025-01-20T19:00:00+01:00,0
sc2025,y2025,2025-01-20T21:00:00+01:00,0
sc2025,y2025,2025-01-20T23:00:00+01:00,0
sc2025,y2025,2025-01-21T01:00:00+01:00,0
sc2025,y2025,2025-01-21T03:00:00+01:00,0
sc2025,y2025,2025-01-21T05:00:00+01:00,0
sc2025,y2025,2025-01-21T07:00:00+01:00,0
sc2025,y2025,2025-01-21T09:00:00+01:00,0
sc2025,y2025,2025-01-21T11:00:00+01:00,0
sc2025,y2025,2025-01-21T13:00:00+01:00,0
sc2025,y2025,2025-01-21T15:00:00+01:00,0
sc2025,y2025,2025-01-21T17:00:00+01:00,0
sc2025,y2025,2025-01-21T19:00:00+01:00,0
sc2025,y2025,2025-01-21T21:00:00+01:00,0
sc2025,y2025,2025-01-21T23:00:00+01:00,0
sc2025,y2025,2025-01-22T01:00:00+01:00,0
sc2025,y2025,2025-01-22T03:00:00+01:00,0
sc2025,y2025,2025-01-22T05:00:00+01:00,0
sc2025,y2025,2025-01-22T07:00:00+01:00,0
sc2025,y2025,2025-01-22T09:00:00+01:00,0
sc2025,y2025,2025-01-22T11:00:00+01:00,0
sc2025,y2025,2025-01-22T13:00:00+01:00,0
sc2025,y2025,2025-01-22T15:00:00+01:00,0
sc2025,y2025,2025-01-22T17:00:00+01:00,0
sc2025,y2025,2025-01-22T19:00:00+01:00,0
sc2025,y2025,2025-01-22T21:00:00+01:00,0
sc2025,y2025,2025-01-22T23:00:00+01:00,0
sc2025,y2025,2025-01-23T01:00:00+01:00,0
sc2025,y2025,2025-01-23T03:00:00+01:00,0
sc2025,y2025,2025-01-23T05:00:00+01:00,0
sc2025,y2025,2025-01-23T07:00:00+01:00,0
sc2025,y2025,2025-01-23T09:00:00+01:00,0
sc2025,y2025,2025-01-23T11:00:00+01:00,0
sc2025,y2025,2025-01-23T13:00:00+01:00,0
sc2025,y2025,2025-01-23T15:00:00+01:00,0
sc2025,y2025,2025-01-23T17:00:00+01:00,0
sc2025,y2025,2025-01-23T19:00:00+01:00,0
sc2025,y2025,2025-01-23T21:00:00+01:00,0
sc2025,y2025,2025-01-23T23:00:00+01:00,0
