,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
SK00_Lignite,SK00,Lignite,,,89.96990403,44.98495201,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
TR00_Lignite,TR00,Lignite,,,7897.824919,3948.912459,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
UA01_Lignite,UA01,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
UK00_Lignite,UK00,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
UKNI_Lignite,UKNI,Lignite,,,0,0,,,,,,,,,9,9,1,9.000000252,,3.3,81,,101,,,,,
AL00_HardCoal,AL00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
AT00_HardCoal,AT00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
BA00_HardCoal,BA00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
BE00_HardCoal,BE00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
BG00_HardCoal,BG00,HardCoal,,,25,10,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
CH00_HardCoal,CH00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
CY00_HardCoal,CY00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
CZ00_HardCoal,CZ00,HardCoal,,,372,148.8,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
DE00_HardCoal,DE00,HardCoal,,,13649.60001,5459.840004,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
DEKF_HardCoal,DEKF,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
DKE1_HardCoal,DKE1,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
DKKF_HardCoal,DKKF,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
DKW1_HardCoal,DKW1,HardCoal,,,410,164,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
EE00_HardCoal,EE00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ES00_HardCoal,ES00,HardCoal,,,4317.789978,1727.115991,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
