Scenario,Period,LoadLevel,AT00_HydroTurbinePumpStorage,BA00_HydroTurbinePumpStorage,BE00_HydroTurbinePumpStorage,BG00_HydroTurbinePumpStorage,CH00_HydroTurbinePumpStorage,CZ00_HydroTurbinePumpStorage,DE00_HydroTurbinePumpStorage,ES00_HydroTurbinePumpStorage,FR00_HydroTurbinePumpStorage,GR00_HydroTurbinePumpStorage,HR00_HydroTurbinePumpStorage,IE00_HydroTurbinePumpStorage,ITCS_HydroTurbinePumpStorage,ITN1_HydroTurbinePumpStorage,ITSA_HydroTurbinePumpStorage,ITSI_HydroTurbinePumpStorage,LT00_HydroTurbinePumpStorage,NOM1_HydroTurbinePumpStorage,NON1_HydroTurbinePumpStorage,NOS0_HydroTurbinePumpStorage,PL00_HydroTurbinePumpStorage,PT00_HydroTurbinePumpStorage,RO00_HydroTurbinePumpStorage,RS00_HydroTurbinePumpStorage,SI00_HydroTurbinePumpStorage,SK00_HydroTurbinePumpStorage,UK00_HydroTurbinePumpStorage
sc2025,y2025,2025-01-05T03:00:00+01:00,8.376560057999999,0.88,2.79,2.798,7.978,2.315999938,17.925764518200097,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.4738164460000071,0.0,0.0,0.0,0.22065549620002223,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-05T05:00:00+01:00,8.376560057999999,0.0,2.79,2.798,7.978,0.0,11.632173987100117,13.790000000000001,7.0,1.47,0.0,0.0,3.494,10.01,0.48,0.0,0.0,0.0,0.0,0.0,0.0,6.405230195000002,1.492,1.228,0.19470459178999378,0.0,5.908
sc2025,y2025,2025-01-05T07:00:00+01:00,0.0,0.0,2.79,0.0,7.978,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.973136577000003,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-05T09:00:00+01:00,0.0,0.0,2.79,0.0,0.0,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0547609739999997,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-05T11:00:00+01:00,8.376560057999999,0.0,2.79,0.0,7.978,0.0,20.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,5.908
sc2025,y2025,2025-01-05T13:00:00+01:00,8.376560057999999,0.0,2.79,0.0,0.0,0.0,20.074,0.0,0.0,0.0,0.0,0.0,0.28170711427998985,3.022303767640315,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T15:00:00+01:00,0.0,0.0,2.79,0.0,4.536854320440008,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T17:00:00+01:00,0.0,0.0,0.0,0.0,6.338389532470008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T21:00:00+01:00,0.0,0.0,0.0,0.0,7.978,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.6139612890999926,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-05T23:00:00+01:00,0.0,0.88,2.3428263633100737,2.6351805411995035,7.978,2.315999938,0.0,13.790000000000001,7.0,0.776057246250465,0.6,0.0,3.494,6.06252726526014,0.48,0.0,0.30287427000000844,0.0,0.0,0.0,0.0,7.664000000000001,1.492,0.0,1.068,1.8521199952,0.0
