Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-04T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,68.51205325999999,137.70130144999987,0,0,0,0,0,0,0,0,2695.692835949999,0,608.3207696499984,1907.6356553600235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T05:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,63.97892492499999,116.99994539999987,0,0,0,0,0,0,0,0,2855.243631849998,0,661.3060456499986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,50.17348862499998,98.92620570499986,0,0,0,0,0,0,0,0,3292.2206834499993,0,947.8114001499982,5673.7706743600265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.130975859999985,94.77173118499985,0,0,0,0,0,0,0,0,0.0,0,1110.961989649999,5987.353149761029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.90041192499998,88.41574021999985,0,0,0,0,0,0,0,0,3400.531336599999,0,1352.0866761499992,5748.984504220022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,58.10646320999999,90.29768167999985,0,0,0,0,0,0,0,0,3391.8434710999995,0,1439.8674631499991,5571.123860930023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T15:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,56.97318112999999,89.80056506999983,0,0,0,0,0,0,0,0,3394.5635775499995,0,1371.88063565,5784.470493670026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T17:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.955181014999994,93.38690633499985,0,0,0,0,0,0,0,0,3266.714627,0,1347.7889046499997,5864.084905760022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T19:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,53.161232304999984,78.68645796499987,0,0,0,0,0,0,0,0,2926.0631755999984,0,1603.9243560499995,5379.772121360023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-04T21:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,56.14897597999999,107.09312149999987,0,0,0,0,0,0,0,0,2744.6060049499997,0,1417.961967899999,4603.102150360025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
