,,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2030-01-03T21:00:00+01:00,,2442.447711,1248.715267,556.6452961,2165.436022,684.574634,226.2912244,1433.855637,3769.774269,1885.434213,1610.25038,659.5206685,6229.157477,3618.866122,5283.639209,1254.691872
sc2015,y2030,2030-01-03T22:00:00+01:00,,2337.635165,1195.129257,532.7580248,2072.510854,655.1975422,216.5804088,1372.324715,3608.002273,1804.524738,1541.149845,631.2187153,5961.846183,3463.570034,5056.902858,1200.849388
sc2015,y2030,2030-01-03T23:00:00+01:00,,2169.082763,1108.955884,494.3441415,1923.074925,607.9553032,200.9641362,1273.374874,3347.851563,1674.41163,1430.02707,585.7054412,5531.97436,3213.833439,4692.280897,1114.263573
sc2015,y2030,2030-01-04T00:00:00+01:00,,1958.002658,1001.039982,446.237995,1735.934599,548.7933057,181.4076989,1149.458855,3022.061846,1511.469492,1290.866744,528.708646,4993.640946,2901.085437,4235.660633,1005.831162
sc2015,y2030,2030-01-04T01:00:00+01:00,,1776.805688,908.4020013,404.9423551,1575.288193,498.007019,164.6199151,1043.085934,2742.394989,1371.595477,1171.407691,479.7810286,4531.520731,2632.613947,3843.685233,912.7497979
sc2015,y2030,2030-01-04T02:00:00+01:00,,1649.990705,843.5671208,376.0406253,1462.856008,462.4630357,152.8705877,968.6383306,2546.663527,1273.701341,1087.801449,445.537879,4208.094974,2444.717828,3569.351984,847.6046045
sc2015,y2030,2030-01-04T03:00:00+01:00,,1572.358073,803.8769968,358.3477842,1394.028128,440.7039904,145.6779738,923.063563,2426.84213,1213.773254,1036.620016,424.5751681,4010.102654,2329.693011,3401.412742,807.7245155
sc2015,y2030,2030-01-04T04:00:00+01:00,,1545.643467,790.2190025,352.2594,1370.343375,433.2163615,143.2028825,907.3805705,2385.609707,1193.151059,1019.007682,417.3615705,3941.970391,2290.111167,3343.622214,794.0011512
sc2015,y2030,2030-01-04T05:00:00+01:00,,1535.332825,784.9476284,349.9095564,1361.202121,430.3264721,142.2476081,901.3276378,2369.695839,1185.191815,1012.210109,414.5774448,3915.674388,2274.834348,3321.317659,788.7045473
sc2015,y2030,2030-01-04T06:00:00+01:00,,1566.737444,801.0034182,357.0668164,1389.044966,439.128628,145.1572261,919.7639342,2418.16702,1209.43444,1032.914462,423.0574607,3995.767942,2321.365175,3389.253884,804.8371834
sc2015,y2030,2030-01-04T07:00:00+01:00,,1632.589651,834.670733,372.0748434,1447.428505,457.5858298,151.2583911,958.4229227,2519.806024,1260.268692,1076.329329,440.8391685,4163.715761,2418.93546,3531.709052,838.6656368
sc2015,y2030,2030-01-04T08:00:00+01:00,,1678.330198,858.0558474,382.4993287,1487.98136,470.4060913,155.4962236,985.2752236,2590.403866,1295.577858,1106.485034,453.1902358,4280.371306,2486.707194,3630.657556,862.1626771
sc2015,y2030,2030-01-04T09:00:00+01:00,,1831.881945,936.5600504,417.4944925,1624.117942,513.4439138,169.7226952,1075.418827,2827.401949,1414.111294,1207.718218,494.6529661,4671.985837,2714.217987,3962.829266,941.0426172
sc2015,y2030,2030-01-04T10:00:00+01:00,,2004.053411,1024.58369,456.7331776,1776.762477,561.7005122,185.6742718,1176.493264,3093.138472,1547.018119,1321.226961,541.1434764,5111.087632,2969.316789,4335.280191,1029.487556
sc2015,y2030,2030-01-04T11:00:00+01:00,,2071.663449,1059.149706,472.1418226,1836.704482,580.6504029,191.9382988,1216.184199,3197.490586,1599.20932,1365.800725,559.3998416,5283.51858,3069.491575,4481.537999,1064.219012
sc2015,y2030,2030-01-04T12:00:00+01:00,,2045.332907,1045.688067,466.1409684,1813.360234,573.2704203,189.4987908,1200.726674,3156.850944,1578.883601,1348.441596,552.2899507,5216.365824,3030.478781,4424.5783,1050.692943
sc2015,y2030,2030-01-04T13:00:00+01:00,,2053.619826,1049.924802,468.0295963,1820.707287,575.5930964,190.2665686,1205.591567,3169.641316,1585.280644,1353.904974,554.5276218,5237.500577,3042.757141,4442.505027,1054.949955
sc2015,y2030,2030-01-04T14:00:00+01:00,,2042.282552,1044.128556,465.4457783,1810.655837,572.4154602,189.2161774,1198.935943,3152.142901,1576.528897,1346.430566,551.4662803,5208.586276,3025.959206,4417.979602,1049.125967
sc2015,y2030,2030-01-04T15:00:00+01:00,,1951.000876,997.4602806,444.6422559,1729.726928,546.8308306,180.7589882,1145.348411,3011.255007,1506.064504,1286.250628,526.8179933,4975.783776,2890.711208,4220.513986,1002.234328
sc2015,y2030,2030-01-04T16:00:00+01:00,,1912.151324,977.5982263,435.7882607,1695.283521,535.9419924,177.159602,1122.541515,2951.29301,1476.074804,1260.637999,516.3276633,4876.702851,2833.149555,4136.472467,982.2772102
